A1C,DFC,IPC,ITC,M1C,MFC,OFC,S1C,STC,V1C,VFC
7.4344715,7.672065,7.517163,8.365831,6.975707,9.077123,7.5423755,8.7002685,7.0246305,10.6709415,8.0738125
9.098201,7.365245,8.255997,8.6973025,6.223231,7.183692,6.7289995,7.681232,8.9278625,10.124573,7.1643875
3.7966765,4.311537,4.0945545,3.269762,4.403719,4.475475,4.3538715,3.9574445,3.311645,4.098111,3.827182
6.0209555,5.651075,6.8966815,5.257242,5.817214,5.4284265,5.7200305,6.137219,4.775843,4.833396,5.353273
6.553859,4.959523,5.3615015,5.8469165,10.4806295,6.476816,4.3172605,7.728842,6.841894,8.186116,8.44103
72.3197085,82.425249,80.0998125,99.881864,60.3924285,71.6095315,66.646667,72.7531,97.481131,68.8266875,79.3701035
45.189183,49.615747,48.8053255,44.8167635,48.994014,42.846517,51.1264985,45.5334205,55.599585,50.9423705,47.497316
2.844656,1.679965,1.8940725,1.1196035,3.374421,2.6282725,1.9716195,4.1564845,1.8799285,2.052097,2.080499
0.056616,0.033972,0.0267505,0.0477485,0.1148365,0.090112,0.0520465,0.1105965,0.050982,0.018814,0.0807905
1.049902,1.307966,1.296449,1.533217,1.1580635,1.627219,1.4182785,1.0796935,1.360629,0.672851,1.231083
0.009223,0.0074145,0,0.0007855,0.0021515,0,0.018917,0.004166,0,0,0
10.439971,9.4739355,9.958595,13.2510535,11.5084405,10.421108,10.5688515,10.6436545,13.487128,10.656317,8.5203065
2.571858,2.694433,1.979561,1.8876935,3.2707475,2.4441715,2.5878695,2.5982135,1.8879875,1.726888,2.93937
8.265677,9.0095665,8.219584,8.0642245,6.637415,7.863741,8.877311,6.562662,8.290297,8.0777285,8.1707035
7.1906285,7.191534,7.6547695,5.8330585,6.460584,7.1235765,7.154199,6.6222805,6.0728975,6.4620215,6.419769
7.0837815,6.276708,5.1999725,5.892661,15.279881,5.482981,4.9304255,10.367739,5.481291,9.8253635,9.516387
0.010515,0.004273,0,0.010259,0,0.005574,0,0.0055715,0,0,0
